Recipient Organization,recipientcodename
Support to Life,NGOs
Sustainable Development and Peace Building Initiatives,NGOs
Tahaddi & Apprentis d'Auteuils,NGOs
Tajik Aid,NGOs
The National Institution of Social Care and Vocational Training,NGOs
Triyog Trust NZ,NGOS
Turath Organization for Human Development,NGOs
U.S. Forest Service,DAC governments
UN Department of Economic and Social Affairs,UN Multi
UN Women,UN Multi
United Nations Global Pulse,UN Multi
United Nations Voluntary Fund for Trafficking in Person,UN Multi
Vetwork Services Trust,other
Wethaq Foundation for Civil Orientation,NGOs
Women Now for Development,NGOs
World Vision Vanuatu,NGOs
Yemeni Social Reform Society,other
Young Men’s Christian Association,NGOs
ABAAD-Resource Center for Gender Equality,NGOs
Abs Development for Women and Children,NGOs
Action for Development,NGOs
Advocates Coalition for Rights and Development,NGOs
Agency for Assistance and Development of Afghanistan,NGOs
Agricultural Development Association,NGOs
Akkar Network for Development,NGOs
Allocation of unearmarked funds by UN Women,UN Multi
ASSABIL,NGOs
Associate in Community Development,NGOs
Association Centrafricaine pour le Développement Economique et Social,NGOs
Association des Cadres Musulmans de Centrafrique,NGOs
Association des Femmes pour la Promotion de l'Entreprenariat,NGOs
Association for Integrated Rural Development,NGOs
Association HIMAYA,NGOs
Association LRC,NGOs
ASYA SAR - KYM,NGOs
Basmeh and Zeitooneh - Lebanese Association,NGOs
Centre Libanais des Droits Humains,NGOs
Chad,NDD
Community Development Association,NGOs
Community in Need Aid,NGOs
ECHO DFID contribution,DAC governments
EducAid Onlus,NGOs
Education Health Social Awareness and Rehabilitation,NGOs
Fangak Community Development Initiative,NGOs
Fashoda Youth Forum,NGOs
Friends of Children Society,NGOs
Global Family,NGOs
IDeA Foundation,foundations
Joint Aid Management International,NGOs
Kachin Baptist Convention,NGOs
Khwendo Kor,NGOs
Labena Organization for Women Development Aid Capacity Building,NGOs
Livelihoods and Food Security Trust Fund,UN Multi
Makhzoumi Foundation,NGOs
Mena Organization for Services Advocacy integration and Capacity Building,NGOs
Monastery Saint James the Mutilated,other
Myanmar Health Assistant Association,NGOs
National Demining Units Organization,NGOs
Organization for Research and Community Development,NGOs
Organization for Voluntary Humanitarian Assistance Programme,other
OVERSEAS-Onlus,NGOs
Oxfam Intermon,NGOs
People Empowerment & Consulting Enterprise,NGOs
Person in Need Relief Mission,NGOs
Rebuild Iraq Recruitment Program,NGOs
Rehabilitation Education And Community Health,NGOs
Relief and Humanitarian Aid Organisation in Dar al Fatwa,NGOs
Rural Community Action for Peace and Development,NGOs
Rural Development Initiative South Sudan,other
Saint Kitts and Nevis,NDD
Save Youth Future Society,NGOs
Society for Human and Environmental Development,NGOs
Sudanese Organization for Rehabilitation and Construction,NGOs
Support Agency for Rural and Human Association’s Development,NGOs
Sustainable Development and Peace Building Initiatives,NGOs
Three Millennium Development Goal Fund (3MDG),UN Multi
Turath Organization for Human Development,NGOs
UN Women,UN Multi
Wethaq Foundation for Civil Orientation,NGOs
World Jewish Relief,NGOs
Young Men’s Christian Association,NGOs
ABAAD-Resource Center for Gender Equality,NGOs
Abdel Mohsen Qattan Foundation,foundations
Abs Development for Women and Children,NGOs
Action for Development,NGOs
Action for Peace and Sustainable Development,NGOs
action medeor e.V.,NGOs
Advocates Coalition for Rights and Development,NGOs
Afghanistankomiteen i Norge,NGOs
Agency for Assistance and Development of Afghanistan,NGOs
Agricultural Development Association,NGOs
Akkar Network for Development,NGOs
Asociacion Ben por la Infancia,NGOs
Asociación de Trabajadores y Tecnicos Sin Fronteras,NGOs
Asociación ONGD Cives Mundi,NGOs
ASSABIL,NGOs
Associate in Community Development,NGOs
Association Agropastorale de NDA,NGOs
Association Centrafricaine pour le Développement Economique et Social,NGOs
Association des Cadres Musulmans de Centrafrique,NGOs
Association des Femmes pour la Promotion de l'Entreprenariat,NGOs
Association for Integrated Rural Development,NGOs
Association HIMAYA,NGOs
Association LRC,NGOs
Association Medina,NGOs
Associazione Internazionale Volontari Laici,NGOs
Atlasalliansen,NGOs
Basmeh and Zeitooneh - Lebanese Association,NGOs
Brigadas Internacionales de Paz,NGOs
Care for Children and Old Age in South Sudan,NGOs
Caribbean Disaster Emergency Management Agency,Other multi
Caritas Chad,NGOs
Centre Libanais des Droits Humains,NGOs
Centro de Estudios Rurales y de Agricultura Internacional,NGOs
Christian Children's Fund of Canada,NGOs
Community Development Association,NGOs
Community in Need Aid,NGOs
Development Fund,NGOs
DIGNI,NGOs
Dominica Red Cross Society,NGOs
Duhok Organization for Volunteer Youth,NGOs
EducAid Onlus,NGOs
Education Health Social Awareness and Rehabilitation,NGOs
Estonian Refugee Council,NGOs
European Centre for Disease Prevention and Control,EC
European Meeting Centre - Nowy Staw Foundation,foundations
Evangelisches Werk für Diakonie und Entwicklung e.V.,NGOs
Famine Early Warning Sytem,other
Fangak Community Development Initiative,NGOs
Fashoda Youth Forum,NGOs
Foyer des Jeunes de Morne l'Hopital,NGOs
Friends of Children Society,NGOs
Friendship Luxembourg,NGOs
"FUNDACION ALIANZA POR LOS DERECHOS, LA IGUALD Y LA SOLIDARIDAD INTERNACIONAL",NGOs
Fundación Ojos del Mundo,foundations
Fundación Plan,NGOs
GFZ German Research Centre,academia/think/research
Global Family,NGOs
Health Equity Initiatives Sdn Bhd,NGOs
Heifer International,NGOs
Hujra Village Support Organization,NGOs
Humanitarian Quality Assurance Initiative,other
IHRA,Other multi
Impact Health Organization,UN Multi
"Institute for Development, Research, Advocacy and Applied Care",NGOs
Interchurch Medical Assistance World Health,NGOs
International Eurasia Press Fund,NGOs
IsraAID,NGOs
Japan Campaign for children of Palestine,NGOs
Japan International Volunteer Center,NGOs
Japan Platform,other
Joint Aid Management International,NGOs
Jordanian National Commission for Women,other
Kachin Baptist Convention,NGOs
Khwendo Kor,NGOs
Labena Organization for Women Development Aid Capacity Building,NGOs
MADAD FUND,EC
Makhzoumi Foundation,NGOs
Manos Unidas,NGOs
Mena Organization for Services Advocacy integration and Capacity Building,NGOs
Ministry of Education and Higher Education,NDD
Monastery Saint James the Mutilated,other
Myanmar Health Assistant Association,NGOs
Myanmar Heart Development Organization,NGOs
National Demining Units Organization,NGOs
NGO Free Ukraine,NGOs
NGO Ukrainian Cultural Center,NGOs
Norwegian Capacity,NGOs
Nova - Centre per la Innovació Social / NOVACT,NGOs
One Step Further,other
Organization for Research and Community Development,NGOs
Organization for Voluntary Humanitarian Assistance Programme,other
OVERSEAS-Onlus,NGOs
Oxfam Intermon,NGOs
Parlement des Jeunes Rwandais,NGOs
Pearl of Africa Environment,NGOs
People Empowerment & Consulting Enterprise,NGOs
Person in Need Relief Mission,NGOs
Professionals in Humanitarian Assistance and Protection,NGOs
Real Medicine Foundation,foundations
Rebuild Iraq Recruitment Program,NGOs
Reform Society,other
Rehabilitation Education And Community Health,NGOs
Relief and Humanitarian Aid Organisation in Dar al Fatwa,NGOs
Rural Community Action for Peace and Development,NGOs
Rural Development Initiative South Sudan,other
Save Youth Future Society,NGOs
Secretariado Diocesano de Pastoral Social,NGOs
Society for Human and Environmental Development,NGOs
Somalia Resilience Program,NGOs
Standard Alliance,other
Sudanese Organization for Rehabilitation and Construction,NGOs
Support Agency for Rural and Human Association’s Development,NGOs
Support to Life,NGOs
Sustainable Development and Peace Building Initiatives,NGOs
Tahaddi & Apprentis d'Auteuils,NGOs
Tajik Aid,NGOs
The National Institution of Social Care and Vocational Training,NGOs
Triyog Trust NZ,NGOs
Turath Organization for Human Development,NGOs
U.S. Forest Service,DAC governments
UN Department of Economic and Social Affairs,UN Multi
UN Women,UN Multi
United Nations Global Pulse,UN Multi
United Nations Voluntary Fund for Trafficking in Person,UN Multi
Vetwork Services Trust,other
Wethaq Foundation for Civil Orientation,NGOs
Women Now for Development,NGOs
World Vision Vanuatu,NGOs
Yemeni Social Reform Society,other
Young Men’s Christian Association,NGOs
HOPE’87 – Hundreds of Original Projects for Employment,NGOs
Farmer's Life Development Agency,NGOs
Development and Regeneration Association,NGOs
AMURT/Ananda Marga Universal Relief Team (USA),NGOs
MOJAZ Foundation,foundations
Association pour le Progrès et la Défense des Droits des Femmes,other
"Center for Emergency Aid and Rehabilitation, Inc.",private sector corporations
Al Najat Charitable Society,NGOs
Al-Khanjar Foundation,NGOs
Association for Environment Management and Development,NGOs
Association pour le Développement de Sila,other
Centre d'Appui aux Initiatives de Développement Local,other
Jiyan Foundation for Human Rights,foundations
Ligue de la Zone Afrique pour la Défense des Droits des Enfants et Elèves,NGOs
Tajdid Iraq Association for Developing Economy,NGOs
The United Iraqi Medical Society for Relief and Development,NGOs
AMURT International,NGOs
Baha'i International Community,NGOs
CARE International,NGOs
CARE International Switzerland in Sudan,NGOs
Comitato Internationale per lo Sviluppo dei Popoli,NGOs
Human Appeal International,NGOs
International Aid Services,NGOs
International Committee of the Red Cross,red cross
International Emergency and Development Aid Relief,NGOs
International Labour Organization,UN Multi
International Medical Corps,NGOs
International Medical Corps UK,NGOs
International Organization for Migration,Other multi
International Relief and Development,NGOs
International Rescue Committee,NGOs
Lay Volunteers International Association,NGOs
Medical Emergency Relief International,NGOs
Mulrany International,private sector corporations
OPEC Fund for International Development,Other multi
OXFAM America,NGOs
Plan International,NGOs
Première Urgence - Aide Médicale Internationale,NGOs
Relief International,NGOs
Solidarités International,NGOs
World Vision International,NGOs
Habitat for Humanity International,NGOs
Handicap International,NGOs
International Federation of Red Cross and Red Crescent Societies,red cross
International Media Support,NGOs
OXFAM International,NGOs
International Orthodox Christian Charities,NGOs
ChildFund International,NGOs
HelpAge International,NGOs
DAC Aviation International,private sector corporations
International Catholic Migration Commission,NGOs
International Strategy for Disaster Reduction,UN Multi
Malteser International,NGOs
Fida International (previously Finnish Free Foreign Mission),NGOs
Geneva International Centre for Humanitarian Demining,NGOs
Deutsche Gesellschaft für Internationale Zusammenarbeit,private sector corporations
Humedia International,NGOs
International Campaign to Ban Landmines,NGOs
International Trust Fund for Demining and Victim Assistance ,NGOs
SODI - Solidaritätsdienst-International ,NGOs
ZIF - Center for International Peace Operations,academia/think/research
Amnesty International Norge,NGOs
Coalition for the International Criminal Court,NGOs
International Coalition to Ban Uranium Weapons,NGOs
International Commission of Jurists,NGOs
International Federation of Journalists,private individual organisations
International Humanitarian Fact-Finding Commission,other
International Institute for Democracy and Electoral Assistance - International IDEA,Other multi
International Institute of Humanitarian Law,NGOs
International Rehabilitation Council of Tortured Victims,other
International Service for Human Rights,NGOs
International Work Group for Indigenous Affairs,NGOs
Minority Rights Group International,NGOs
PEN International,private individual organisations
"PRIO - International Peace Research Institute, Oslo",academia/think/research
Rehabilitation International,NGOs
Transparency International,NGOs
PCPM - Polish Center for International Aid,academia/think/research
International Council of Voluntary Agencies,NGOs
Humanitarian Accountability Partnership International,NGOs
Swiss AIDS Care International,foundations
Volunteer Organization for the International Co-operation,NGOs
Centre for International Studies and Cooperation ,academia/think/research
Counterpart International,NGOs
DHL International,private sector corporations
Helen Keller International,NGOs
International Resources Group,private sector corporations
Project Concern International,NGOs
International Civil Aviation Organisation,UN Multi
Tamer Institute for Community Education,NGOs
Togo,NDD
HealthNet International Transcultural Psychosocial Organisation,NGOs
Jordan Hashemite Charity Organization,NGOs
Nippon International Cooperation for Community Development,NGOs
Rotary International,NGOs
United Nations Fund for International Partnerships,UN Multi
Norsk Journalistlag,other
International Network for Environmental Management,NGOs
Near East Council of Churches in Gaza,NGOs
Buddhist Tzu Chi Foundation,foundations
Health Communication Capacity Collaborative,other
